epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.49374,5.00000,2.00000,-1
1,1,0.36807,5.00000,2.00000,-1
1,2,0.32750,5.00000,2.00000,-1
1,3,0.31477,5.00000,2.00000,-1
1,4,0.30638,5.00000,2.00000,-1
1,5,0.29849,5.00000,2.00000,-1
1,6,0.29405,5.00000,2.00000,-1
1,7,0.28709,5.00000,2.00000,-1
1,8,0.28092,6.00000,2.00000,-1
1,9,0.27895,5.00000,2.00000,-1
1,10,0.27679,5.00000,2.00000,-1
1,11,0.27061,5.00000,2.00000,-1
1,12,0.26737,5.00000,2.00000,-1
1,13,0.26335,5.00000,2.00000,-1
1,14,0.26176,5.00000,2.00000,-1
1,15,0.25960,5.00000,2.00000,-1
1,16,0.25848,5.00000,2.00000,-1
1,17,0.25641,5.00000,2.00000,-1
1,18,0.25125,5.00000,2.00000,-1
1,19,0.24916,5.00000,2.00000,-1
1,20,0.24790,5.00000,2.00000,-1
1,21,0.24685,5.00000,2.00000,-1
1,22,0.24647,5.00000,2.00000,-1
1,23,0.24525,5.00000,2.00000,-1
1,24,0.24432,5.00000,2.00000,-1
1,25,0.24257,5.00000,2.00000,-1
1,26,0.24087,5.00000,2.00000,-1
1,27,0.23684,5.00000,2.00000,-1
1,28,0.23728,5.00000,2.00000,-1
1,29,0.23605,6.00000,2.00000,-1
1,30,0.23367,5.00000,2.00000,-1
1,31,0.23281,5.00000,2.00000,-1
1,32,0.23357,5.00000,2.00000,-1
1,33,0.23370,5.00000,2.00000,-1
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.49652,5.00000,2.00000,-1
1,1,0.35469,5.00000,2.00000,-1
1,2,0.30598,5.00000,2.00000,-1
1,3,0.28782,5.00000,2.00000,-1
1,4,0.27651,5.00000,2.00000,-1
1,5,0.26645,5.00000,2.00000,-1
1,6,0.25983,5.00000,2.00000,-1
1,7,0.24964,5.00000,2.00000,-1
2,0,0.24133,5.00000,2.00000,-1
2,1,0.24023,6.00000,2.00000,-1
2,2,0.23443,5.00000,2.00000,-1
2,3,0.23433,5.00000,2.00000,-1
2,4,0.22343,5.00000,2.00000,-1
2,5,0.21924,5.00000,2.00000,-1
2,6,0.22182,5.00000,2.00000,-1
2,7,0.21416,5.00000,2.00000,-1
3,0,0.21692,5.00000,2.00000,-1
3,1,0.20884,5.00000,2.00000,-1
3,2,0.19881,5.00000,2.00000,-1
